grid_x,grid_y,FGA,FGM,FG_PCT,PLAYER
-238.0,-38.0,5,1,0.2,Allen Iverson
-238.0,-13.0,75,27,0.36,Allen Iverson
-238.0,12.0,74,25,0.3378,Allen Iverson
-238.0,37.0,66,27,0.4091,Allen Iverson
-238.0,62.0,42,14,0.3333,Allen Iverson
-238.0,87.0,28,12,0.4286,Allen Iverson
-238.0,112.0,32,10,0.3125,Allen Iverson
-238.0,137.0,12,1,0.0833,Allen Iverson
-238.0,162.0,2,0,0.0,Allen Iverson
-213.0,-38.0,4,2,0.5,Allen Iverson
-213.0,-13.0,32,16,0.5,Allen Iverson
-213.0,12.0,48,21,0.4375,Allen Iverson
-213.0,37.0,40,17,0.425,Allen Iverson
-213.0,62.0,21,10,0.4762,Allen Iverson
-213.0,87.0,29,8,0.2759,Allen Iverson
-213.0,112.0,70,23,0.3286,Allen Iverson
-213.0,137.0,142,45,0.3169,Allen Iverson
-213.0,162.0,83,28,0.3373,Allen Iverson
-213.0,187.0,28,10,0.3571,Allen Iverson
-213.0,212.0,3,0,0.0,Allen Iverson
-213.0,362.0,2,0,0.0,Allen Iverson
-213.0,387.0,1,0,0.0,Allen Iverson
-188.0,-38.0,27,12,0.4444,Allen Iverson
-188.0,-13.0,178,85,0.4775,Allen Iverson
-188.0,12.0,192,87,0.4531,Allen Iverson
-188.0,37.0,110,44,0.4,Allen Iverson
-188.0,62.0,63,22,0.3492,Allen Iverson
-188.0,87.0,72,37,0.5139,Allen Iverson
-188.0,112.0,47,18,0.383,Allen Iverson
-188.0,137.0,55,20,0.3636,Allen Iverson
-188.0,162.0,212,79,0.3726,Allen Iverson
-188.0,187.0,168,41,0.244,Allen Iverson
-188.0,212.0,42,7,0.1667,Allen Iverson
-188.0,237.0,12,1,0.0833,Allen Iverson
-188.0,262.0,1,0,0.0,Allen Iverson
-188.0,287.0,1,0,0.0,Allen Iverson
-188.0,387.0,5,0,0.0,Allen Iverson
-188.0,512.0,1,1,1.0,Allen Iverson
-163.0,-38.0,25,17,0.68,Allen Iverson
-163.0,-13.0,199,87,0.4372,Allen Iverson
-163.0,12.0,229,76,0.3319,Allen Iverson
-163.0,37.0,149,37,0.2483,Allen Iverson
-163.0,62.0,145,63,0.4345,Allen Iverson
-163.0,87.0,131,55,0.4198,Allen Iverson
-163.0,112.0,89,37,0.4157,Allen Iverson
-163.0,137.0,63,25,0.3968,Allen Iverson
-163.0,162.0,49,16,0.3265,Allen Iverson
-163.0,187.0,182,62,0.3407,Allen Iverson
-163.0,212.0,119,35,0.2941,Allen Iverson
-163.0,237.0,26,7,0.2692,Allen Iverson
-163.0,262.0,2,1,0.5,Allen Iverson
-163.0,287.0,2,0,0.0,Allen Iverson
-163.0,387.0,2,0,0.0,Allen Iverson
-163.0,462.0,1,0,0.0,Allen Iverson
-138.0,-38.0,16,12,0.75,Allen Iverson
-138.0,-13.0,89,44,0.4944,Allen Iverson
-138.0,12.0,157,55,0.3503,Allen Iverson
-138.0,37.0,97,35,0.3608,Allen Iverson
-138.0,62.0,101,27,0.2673,Allen Iverson
-138.0,87.0,126,51,0.4048,Allen Iverson
-138.0,112.0,144,51,0.3542,Allen Iverson
-138.0,137.0,101,39,0.3861,Allen Iverson
-138.0,162.0,56,26,0.4643,Allen Iverson
-138.0,187.0,50,24,0.48,Allen Iverson
-138.0,212.0,137,40,0.292,Allen Iverson
-138.0,237.0,39,8,0.2051,Allen Iverson
-138.0,262.0,11,0,0.0,Allen Iverson
-138.0,287.0,1,0,0.0,Allen Iverson
-138.0,337.0,1,0,0.0,Allen Iverson
-138.0,387.0,2,0,0.0,Allen Iverson
-113.0,-38.0,4,3,0.75,Allen Iverson
-113.0,-13.0,48,17,0.3542,Allen Iverson
-113.0,12.0,91,32,0.3516,Allen Iverson
-113.0,37.0,76,19,0.25,Allen Iverson
-113.0,62.0,87,29,0.3333,Allen Iverson
-113.0,87.0,89,25,0.2809,Allen Iverson
-113.0,112.0,119,42,0.3529,Allen Iverson
-113.0,137.0,124,54,0.4355,Allen Iverson
-113.0,162.0,90,28,0.3111,Allen Iverson
-113.0,187.0,32,15,0.4688,Allen Iverson
-113.0,212.0,52,17,0.3269,Allen Iverson
-113.0,237.0,61,25,0.4098,Allen Iverson
-113.0,262.0,8,2,0.25,Allen Iverson
-113.0,287.0,2,0,0.0,Allen Iverson
-113.0,387.0,2,0,0.0,Allen Iverson
-113.0,812.0,1,0,0.0,Allen Iverson
-88.0,-38.0,2,1,0.5,Allen Iverson
-88.0,-13.0,29,14,0.4828,Allen Iverson
-88.0,12.0,69,21,0.3043,Allen Iverson
-88.0,37.0,61,31,0.5082,Allen Iverson
-88.0,62.0,73,36,0.4932,Allen Iverson
-88.0,87.0,62,28,0.4516,Allen Iverson
-88.0,112.0,84,31,0.369,Allen Iverson
-88.0,137.0,92,36,0.3913,Allen Iverson
-88.0,162.0,92,35,0.3804,Allen Iverson
-88.0,187.0,47,19,0.4043,Allen Iverson
-88.0,212.0,13,5,0.3846,Allen Iverson
-88.0,237.0,49,19,0.3878,Allen Iverson
-88.0,262.0,23,7,0.3043,Allen Iverson
-88.0,287.0,1,0,0.0,Allen Iverson
-88.0,312.0,1,1,1.0,Allen Iverson
-88.0,512.0,1,0,0.0,Allen Iverson
-63.0,-38.0,2,0,0.0,Allen Iverson
-63.0,-13.0,23,5,0.2174,Allen Iverson
-63.0,12.0,55,19,0.3455,Allen Iverson
-63.0,37.0,94,43,0.4574,Allen Iverson
-63.0,62.0,86,35,0.407,Allen Iverson
-63.0,87.0,93,37,0.3978,Allen Iverson
-63.0,112.0,67,27,0.403,Allen Iverson
-63.0,137.0,71,37,0.5211,Allen Iverson
-63.0,162.0,50,17,0.34,Allen Iverson
-63.0,187.0,49,17,0.3469,Allen Iverson
-63.0,212.0,20,9,0.45,Allen Iverson
-63.0,237.0,37,9,0.2432,Allen Iverson
-63.0,262.0,20,6,0.3,Allen Iverson
-63.0,287.0,2,0,0.0,Allen Iverson
-38.0,-38.0,1,0,0.0,Allen Iverson
-38.0,-13.0,16,3,0.1875,Allen Iverson
-38.0,12.0,67,19,0.2836,Allen Iverson
-38.0,37.0,79,15,0.1899,Allen Iverson
-38.0,62.0,84,39,0.4643,Allen Iverson
-38.0,87.0,65,22,0.3385,Allen Iverson
-38.0,112.0,38,8,0.2105,Allen Iverson
-38.0,137.0,39,15,0.3846,Allen Iverson
-38.0,162.0,49,18,0.3673,Allen Iverson
-38.0,187.0,57,19,0.3333,Allen Iverson
-38.0,212.0,26,9,0.3462,Allen Iverson
-38.0,237.0,19,7,0.3684,Allen Iverson
-38.0,262.0,32,10,0.3125,Allen Iverson
-38.0,287.0,1,0,0.0,Allen Iverson
-38.0,462.0,1,0,0.0,Allen Iverson
-13.0,-13.0,28,13,0.4643,Allen Iverson
-13.0,12.0,152,71,0.4671,Allen Iverson
-13.0,37.0,178,57,0.3202,Allen Iverson
-13.0,62.0,160,58,0.3625,Allen Iverson
-13.0,87.0,116,48,0.4138,Allen Iverson
-13.0,112.0,68,31,0.4559,Allen Iverson
-13.0,137.0,73,36,0.4932,Allen Iverson
-13.0,162.0,83,28,0.3373,Allen Iverson
-13.0,187.0,65,27,0.4154,Allen Iverson
-13.0,212.0,50,26,0.52,Allen Iverson
-13.0,237.0,46,13,0.2826,Allen Iverson
-13.0,262.0,67,18,0.2687,Allen Iverson
-13.0,287.0,7,4,0.5714,Allen Iverson
-13.0,312.0,1,0,0.0,Allen Iverson
-13.0,337.0,2,0,0.0,Allen Iverson
12.0,-13.0,45,31,0.6889,Allen Iverson
12.0,12.0,5445,3166,0.5815,Allen Iverson
12.0,37.0,184,69,0.375,Allen Iverson
12.0,62.0,137,48,0.3504,Allen Iverson
12.0,87.0,99,36,0.3636,Allen Iverson
12.0,112.0,81,34,0.4198,Allen Iverson
12.0,137.0,74,29,0.3919,Allen Iverson
12.0,162.0,76,34,0.4474,Allen Iverson
12.0,187.0,95,46,0.4842,Allen Iverson
12.0,212.0,55,23,0.4182,Allen Iverson
12.0,237.0,29,10,0.3448,Allen Iverson
12.0,262.0,79,28,0.3544,Allen Iverson
12.0,287.0,8,3,0.375,Allen Iverson
12.0,312.0,1,0,0.0,Allen Iverson
12.0,412.0,1,0,0.0,Allen Iverson
12.0,487.0,1,0,0.0,Allen Iverson
37.0,-38.0,2,1,0.5,Allen Iverson
37.0,-13.0,28,7,0.25,Allen Iverson
37.0,12.0,156,48,0.3077,Allen Iverson
37.0,37.0,108,32,0.2963,Allen Iverson
37.0,62.0,69,20,0.2899,Allen Iverson
37.0,87.0,57,19,0.3333,Allen Iverson
37.0,112.0,31,9,0.2903,Allen Iverson
37.0,137.0,31,7,0.2258,Allen Iverson
37.0,162.0,46,9,0.1957,Allen Iverson
37.0,187.0,28,11,0.3929,Allen Iverson
37.0,212.0,19,7,0.3684,Allen Iverson
37.0,237.0,29,9,0.3103,Allen Iverson
37.0,262.0,21,6,0.2857,Allen Iverson
37.0,287.0,3,0,0.0,Allen Iverson
62.0,-38.0,1,0,0.0,Allen Iverson
62.0,-13.0,35,10,0.2857,Allen Iverson
62.0,12.0,121,37,0.3058,Allen Iverson
62.0,37.0,108,38,0.3519,Allen Iverson
62.0,62.0,44,15,0.3409,Allen Iverson
62.0,87.0,42,16,0.381,Allen Iverson
62.0,112.0,48,21,0.4375,Allen Iverson
62.0,137.0,53,20,0.3774,Allen Iverson
62.0,162.0,49,17,0.3469,Allen Iverson
62.0,187.0,35,16,0.4571,Allen Iverson
62.0,212.0,11,2,0.1818,Allen Iverson
62.0,237.0,25,9,0.36,Allen Iverson
62.0,262.0,20,3,0.15,Allen Iverson
62.0,287.0,3,0,0.0,Allen Iverson
62.0,337.0,1,0,0.0,Allen Iverson
62.0,487.0,1,0,0.0,Allen Iverson
87.0,-38.0,3,3,1.0,Allen Iverson
87.0,-13.0,34,11,0.3235,Allen Iverson
87.0,12.0,84,29,0.3452,Allen Iverson
87.0,37.0,69,29,0.4203,Allen Iverson
87.0,62.0,37,15,0.4054,Allen Iverson
87.0,87.0,41,17,0.4146,Allen Iverson
87.0,112.0,58,26,0.4483,Allen Iverson
87.0,137.0,79,25,0.3165,Allen Iverson
87.0,162.0,73,38,0.5205,Allen Iverson
87.0,187.0,38,15,0.3947,Allen Iverson
87.0,212.0,22,7,0.3182,Allen Iverson
87.0,237.0,36,11,0.3056,Allen Iverson
87.0,262.0,14,5,0.3571,Allen Iverson
87.0,287.0,3,0,0.0,Allen Iverson
87.0,312.0,1,1,1.0,Allen Iverson
87.0,362.0,1,0,0.0,Allen Iverson
87.0,387.0,2,0,0.0,Allen Iverson
87.0,412.0,1,0,0.0,Allen Iverson
87.0,462.0,1,0,0.0,Allen Iverson
112.0,-63.0,1,1,1.0,Allen Iverson
112.0,-38.0,5,5,1.0,Allen Iverson
112.0,-13.0,44,9,0.2045,Allen Iverson
112.0,12.0,83,23,0.2771,Allen Iverson
112.0,37.0,50,22,0.44,Allen Iverson
112.0,62.0,54,17,0.3148,Allen Iverson
112.0,87.0,46,20,0.4348,Allen Iverson
112.0,112.0,74,33,0.4459,Allen Iverson
112.0,137.0,122,65,0.5328,Allen Iverson
112.0,162.0,88,35,0.3977,Allen Iverson
112.0,187.0,32,10,0.3125,Allen Iverson
112.0,212.0,36,10,0.2778,Allen Iverson
112.0,237.0,39,9,0.2308,Allen Iverson
112.0,262.0,9,2,0.2222,Allen Iverson
112.0,287.0,2,0,0.0,Allen Iverson
112.0,312.0,2,0,0.0,Allen Iverson
112.0,387.0,2,0,0.0,Allen Iverson
112.0,462.0,1,0,0.0,Allen Iverson
112.0,687.0,1,0,0.0,Allen Iverson
137.0,-38.0,13,6,0.4615,Allen Iverson
137.0,-13.0,61,29,0.4754,Allen Iverson
137.0,12.0,118,39,0.3305,Allen Iverson
137.0,37.0,82,22,0.2683,Allen Iverson
137.0,62.0,97,27,0.2784,Allen Iverson
137.0,87.0,75,26,0.3467,Allen Iverson
137.0,112.0,116,38,0.3276,Allen Iverson
137.0,137.0,93,36,0.3871,Allen Iverson
137.0,162.0,40,16,0.4,Allen Iverson
137.0,187.0,25,8,0.32,Allen Iverson
137.0,212.0,73,23,0.3151,Allen Iverson
137.0,237.0,33,10,0.303,Allen Iverson
137.0,262.0,8,2,0.25,Allen Iverson
137.0,387.0,1,0,0.0,Allen Iverson
162.0,-38.0,15,11,0.7333,Allen Iverson
162.0,-13.0,112,48,0.4286,Allen Iverson
162.0,12.0,158,53,0.3354,Allen Iverson
162.0,37.0,94,21,0.2234,Allen Iverson
162.0,62.0,83,34,0.4096,Allen Iverson
162.0,87.0,82,32,0.3902,Allen Iverson
162.0,112.0,59,24,0.4068,Allen Iverson
162.0,137.0,32,11,0.3438,Allen Iverson
162.0,162.0,23,8,0.3478,Allen Iverson
162.0,187.0,78,26,0.3333,Allen Iverson
162.0,212.0,52,9,0.1731,Allen Iverson
162.0,237.0,17,0,0.0,Allen Iverson
162.0,262.0,1,0,0.0,Allen Iverson
162.0,312.0,1,0,0.0,Allen Iverson
162.0,337.0,1,0,0.0,Allen Iverson
162.0,387.0,2,0,0.0,Allen Iverson
162.0,412.0,1,0,0.0,Allen Iverson
162.0,612.0,1,0,0.0,Allen Iverson
187.0,-38.0,14,9,0.6429,Allen Iverson
187.0,-13.0,93,39,0.4194,Allen Iverson
187.0,12.0,119,52,0.437,Allen Iverson
187.0,37.0,48,17,0.3542,Allen Iverson
187.0,62.0,40,16,0.4,Allen Iverson
187.0,87.0,35,12,0.3429,Allen Iverson
187.0,112.0,19,12,0.6316,Allen Iverson
187.0,137.0,13,4,0.3077,Allen Iverson
187.0,162.0,70,19,0.2714,Allen Iverson
187.0,187.0,67,19,0.2836,Allen Iverson
187.0,212.0,21,4,0.1905,Allen Iverson
187.0,237.0,5,0,0.0,Allen Iverson
187.0,262.0,1,0,0.0,Allen Iverson
187.0,337.0,1,0,0.0,Allen Iverson
187.0,362.0,2,1,0.5,Allen Iverson
187.0,387.0,2,0,0.0,Allen Iverson
212.0,-13.0,11,7,0.6364,Allen Iverson
212.0,12.0,26,12,0.4615,Allen Iverson
212.0,37.0,10,4,0.4,Allen Iverson
212.0,62.0,11,4,0.3636,Allen Iverson
212.0,87.0,7,5,0.7143,Allen Iverson
212.0,112.0,27,8,0.2963,Allen Iverson
212.0,137.0,37,21,0.5676,Allen Iverson
212.0,162.0,35,8,0.2286,Allen Iverson
212.0,187.0,17,3,0.1765,Allen Iverson
212.0,212.0,1,0,0.0,Allen Iverson
212.0,237.0,1,0,0.0,Allen Iverson
212.0,412.0,1,0,0.0,Allen Iverson
237.0,-38.0,1,1,1.0,Allen Iverson
237.0,-13.0,19,8,0.4211,Allen Iverson
237.0,12.0,29,8,0.2759,Allen Iverson
237.0,37.0,21,10,0.4762,Allen Iverson
237.0,62.0,14,5,0.3571,Allen Iverson
237.0,87.0,7,4,0.5714,Allen Iverson
237.0,112.0,13,3,0.2308,Allen Iverson
237.0,137.0,7,6,0.8571,Allen Iverson
237.0,412.0,1,0,0.0,Allen Iverson
-238.0,-38.0,3,2,0.6667,Dirk Nowitzki
-238.0,-13.0,36,17,0.4722,Dirk Nowitzki
-238.0,12.0,67,24,0.3582,Dirk Nowitzki
-238.0,37.0,13,4,0.3077,Dirk Nowitzki
-238.0,62.0,10,3,0.3,Dirk Nowitzki
-238.0,87.0,6,1,0.1667,Dirk Nowitzki
-238.0,112.0,8,4,0.5,Dirk Nowitzki
-238.0,137.0,2,2,1.0,Dirk Nowitzki
-213.0,-38.0,1,1,1.0,Dirk Nowitzki
-213.0,-13.0,14,6,0.4286,Dirk Nowitzki
-213.0,12.0,40,17,0.425,Dirk Nowitzki
-213.0,37.0,11,6,0.5455,Dirk Nowitzki
-213.0,62.0,7,2,0.2857,Dirk Nowitzki
-213.0,87.0,10,4,0.4,Dirk Nowitzki
-213.0,112.0,28,7,0.25,Dirk Nowitzki
-213.0,137.0,43,13,0.3023,Dirk Nowitzki
-213.0,162.0,19,4,0.2105,Dirk Nowitzki
-213.0,187.0,4,1,0.25,Dirk Nowitzki
-188.0,-38.0,3,0,0.0,Dirk Nowitzki
-188.0,-13.0,36,17,0.4722,Dirk Nowitzki
-188.0,12.0,83,34,0.4096,Dirk Nowitzki
-188.0,37.0,39,12,0.3077,Dirk Nowitzki
-188.0,62.0,28,14,0.5,Dirk Nowitzki
-188.0,87.0,27,12,0.4444,Dirk Nowitzki
-188.0,112.0,10,7,0.7,Dirk Nowitzki
-188.0,137.0,19,10,0.5263,Dirk Nowitzki
-188.0,162.0,86,37,0.4302,Dirk Nowitzki
-188.0,187.0,36,12,0.3333,Dirk Nowitzki
-188.0,212.0,7,2,0.2857,Dirk Nowitzki
-188.0,237.0,2,0,0.0,Dirk Nowitzki
-188.0,262.0,1,1,1.0,Dirk Nowitzki
-163.0,-38.0,4,2,0.5,Dirk Nowitzki
-163.0,-13.0,77,32,0.4156,Dirk Nowitzki
-163.0,12.0,246,124,0.5041,Dirk Nowitzki
-163.0,37.0,174,77,0.4425,Dirk Nowitzki
-163.0,62.0,111,52,0.4685,Dirk Nowitzki
-163.0,87.0,115,53,0.4609,Dirk Nowitzki
-163.0,112.0,67,34,0.5075,Dirk Nowitzki
-163.0,137.0,33,19,0.5758,Dirk Nowitzki
-163.0,162.0,23,11,0.4783,Dirk Nowitzki
-163.0,187.0,142,56,0.3944,Dirk Nowitzki
-163.0,212.0,49,18,0.3673,Dirk Nowitzki
-163.0,237.0,3,3,1.0,Dirk Nowitzki
-163.0,262.0,1,0,0.0,Dirk Nowitzki
-163.0,387.0,1,0,0.0,Dirk Nowitzki
-163.0,587.0,1,0,0.0,Dirk Nowitzki
-138.0,-38.0,2,0,0.0,Dirk Nowitzki
-138.0,-13.0,64,28,0.4375,Dirk Nowitzki
-138.0,12.0,203,93,0.4581,Dirk Nowitzki
-138.0,37.0,221,100,0.4525,Dirk Nowitzki
-138.0,62.0,152,67,0.4408,Dirk Nowitzki
-138.0,87.0,153,61,0.3987,Dirk Nowitzki
-138.0,112.0,145,76,0.5241,Dirk Nowitzki
-138.0,137.0,118,51,0.4322,Dirk Nowitzki
-138.0,162.0,53,19,0.3585,Dirk Nowitzki
-138.0,187.0,48,19,0.3958,Dirk Nowitzki
-138.0,212.0,160,51,0.3188,Dirk Nowitzki
-138.0,237.0,27,6,0.2222,Dirk Nowitzki
-138.0,262.0,2,0,0.0,Dirk Nowitzki
-138.0,387.0,1,0,0.0,Dirk Nowitzki
-138.0,537.0,1,0,0.0,Dirk Nowitzki
-138.0,562.0,1,0,0.0,Dirk Nowitzki
-113.0,-38.0,1,0,0.0,Dirk Nowitzki
-113.0,-13.0,19,5,0.2632,Dirk Nowitzki
-113.0,12.0,158,75,0.4747,Dirk Nowitzki
-113.0,37.0,140,74,0.5286,Dirk Nowitzki
-113.0,62.0,133,54,0.406,Dirk Nowitzki
-113.0,87.0,107,58,0.5421,Dirk Nowitzki
-113.0,112.0,119,57,0.479,Dirk Nowitzki
-113.0,137.0,152,70,0.4605,Dirk Nowitzki
-113.0,162.0,142,64,0.4507,Dirk Nowitzki
-113.0,187.0,35,11,0.3143,Dirk Nowitzki
-113.0,212.0,161,62,0.3851,Dirk Nowitzki
-113.0,237.0,104,39,0.375,Dirk Nowitzki
-113.0,262.0,7,2,0.2857,Dirk Nowitzki
-113.0,287.0,3,1,0.3333,Dirk Nowitzki
-113.0,312.0,1,0,0.0,Dirk Nowitzki
-113.0,337.0,1,0,0.0,Dirk Nowitzki
-113.0,537.0,1,0,0.0,Dirk Nowitzki
-88.0,-38.0,1,0,0.0,Dirk Nowitzki
-88.0,-13.0,11,7,0.6364,Dirk Nowitzki
-88.0,12.0,85,43,0.5059,Dirk Nowitzki
-88.0,37.0,100,42,0.42,Dirk Nowitzki
-88.0,62.0,65,27,0.4154,Dirk Nowitzki
-88.0,87.0,72,37,0.5139,Dirk Nowitzki
-88.0,112.0,68,28,0.4118,Dirk Nowitzki
-88.0,137.0,170,81,0.4765,Dirk Nowitzki
-88.0,162.0,149,73,0.4899,Dirk Nowitzki
-88.0,187.0,56,30,0.5357,Dirk Nowitzki
-88.0,212.0,37,12,0.3243,Dirk Nowitzki
-88.0,237.0,186,65,0.3495,Dirk Nowitzki
-88.0,262.0,25,10,0.4,Dirk Nowitzki
-88.0,287.0,4,2,0.5,Dirk Nowitzki
-88.0,562.0,1,0,0.0,Dirk Nowitzki
-63.0,-38.0,1,1,1.0,Dirk Nowitzki
-63.0,-13.0,5,0,0.0,Dirk Nowitzki
-63.0,12.0,53,18,0.3396,Dirk Nowitzki
-63.0,37.0,82,39,0.4756,Dirk Nowitzki
-63.0,62.0,63,28,0.4444,Dirk Nowitzki
-63.0,87.0,57,25,0.4386,Dirk Nowitzki
-63.0,112.0,110,48,0.4364,Dirk Nowitzki
-63.0,137.0,114,58,0.5088,Dirk Nowitzki
-63.0,162.0,118,51,0.4322,Dirk Nowitzki
-63.0,187.0,99,39,0.3939,Dirk Nowitzki
-63.0,212.0,24,8,0.3333,Dirk Nowitzki
-63.0,237.0,180,78,0.4333,Dirk Nowitzki
-63.0,262.0,39,10,0.2564,Dirk Nowitzki
-63.0,287.0,2,0,0.0,Dirk Nowitzki
-63.0,312.0,1,0,0.0,Dirk Nowitzki
-38.0,-13.0,3,1,0.3333,Dirk Nowitzki
-38.0,12.0,87,35,0.4023,Dirk Nowitzki
-38.0,37.0,77,28,0.3636,Dirk Nowitzki
-38.0,62.0,52,14,0.2692,Dirk Nowitzki
-38.0,87.0,43,19,0.4419,Dirk Nowitzki
-38.0,112.0,55,35,0.6364,Dirk Nowitzki
-38.0,137.0,98,56,0.5714,Dirk Nowitzki
-38.0,162.0,89,36,0.4045,Dirk Nowitzki
-38.0,187.0,113,55,0.4867,Dirk Nowitzki
-38.0,212.0,41,12,0.2927,Dirk Nowitzki
-38.0,237.0,112,46,0.4107,Dirk Nowitzki
-38.0,262.0,72,23,0.3194,Dirk Nowitzki
-38.0,287.0,7,4,0.5714,Dirk Nowitzki
-38.0,312.0,1,1,1.0,Dirk Nowitzki
-38.0,362.0,1,0,0.0,Dirk Nowitzki
-38.0,587.0,1,0,0.0,Dirk Nowitzki
-13.0,-13.0,28,26,0.9286,Dirk Nowitzki
-13.0,12.0,309,207,0.6699,Dirk Nowitzki
-13.0,37.0,95,47,0.4947,Dirk Nowitzki
-13.0,62.0,86,33,0.3837,Dirk Nowitzki
-13.0,87.0,59,26,0.4407,Dirk Nowitzki
-13.0,112.0,98,44,0.449,Dirk Nowitzki
-13.0,137.0,117,60,0.5128,Dirk Nowitzki
-13.0,162.0,144,69,0.4792,Dirk Nowitzki
-13.0,187.0,139,57,0.4101,Dirk Nowitzki
-13.0,212.0,50,26,0.52,Dirk Nowitzki
-13.0,237.0,127,60,0.4724,Dirk Nowitzki
-13.0,262.0,146,50,0.3425,Dirk Nowitzki
-13.0,287.0,10,2,0.2,Dirk Nowitzki
-13.0,537.0,1,0,0.0,Dirk Nowitzki
-13.0,787.0,1,0,0.0,Dirk Nowitzki
12.0,-13.0,50,36,0.72,Dirk Nowitzki
12.0,12.0,2646,1711,0.6466,Dirk Nowitzki
12.0,37.0,113,43,0.3805,Dirk Nowitzki
12.0,62.0,152,59,0.3882,Dirk Nowitzki
12.0,87.0,99,38,0.3838,Dirk Nowitzki
12.0,112.0,71,29,0.4085,Dirk Nowitzki
12.0,137.0,189,91,0.4815,Dirk Nowitzki
12.0,162.0,160,76,0.475,Dirk Nowitzki
12.0,187.0,214,116,0.5421,Dirk Nowitzki
12.0,212.0,68,34,0.5,Dirk Nowitzki
12.0,237.0,184,72,0.3913,Dirk Nowitzki
12.0,262.0,167,62,0.3713,Dirk Nowitzki
12.0,287.0,8,2,0.25,Dirk Nowitzki
12.0,312.0,3,0,0.0,Dirk Nowitzki
12.0,337.0,1,0,0.0,Dirk Nowitzki
12.0,362.0,2,0,0.0,Dirk Nowitzki
12.0,537.0,1,0,0.0,Dirk Nowitzki
12.0,712.0,1,0,0.0,Dirk Nowitzki
12.0,737.0,1,0,0.0,Dirk Nowitzki
37.0,-13.0,9,2,0.2222,Dirk Nowitzki
37.0,12.0,98,51,0.5204,Dirk Nowitzki
37.0,37.0,67,23,0.3433,Dirk Nowitzki
37.0,62.0,56,22,0.3929,Dirk Nowitzki
37.0,87.0,47,21,0.4468,Dirk Nowitzki
37.0,112.0,61,28,0.459,Dirk Nowitzki
37.0,137.0,94,46,0.4894,Dirk Nowitzki
37.0,162.0,107,48,0.4486,Dirk Nowitzki
37.0,187.0,152,65,0.4276,Dirk Nowitzki
37.0,212.0,32,15,0.4688,Dirk Nowitzki
37.0,237.0,138,56,0.4058,Dirk Nowitzki
37.0,262.0,82,33,0.4024,Dirk Nowitzki
37.0,287.0,2,0,0.0,Dirk Nowitzki
37.0,312.0,1,0,0.0,Dirk Nowitzki
37.0,387.0,1,0,0.0,Dirk Nowitzki
37.0,437.0,1,0,0.0,Dirk Nowitzki
37.0,787.0,1,0,0.0,Dirk Nowitzki
62.0,-13.0,5,2,0.4,Dirk Nowitzki
62.0,12.0,57,13,0.2281,Dirk Nowitzki
62.0,37.0,73,36,0.4932,Dirk Nowitzki
62.0,62.0,83,35,0.4217,Dirk Nowitzki
62.0,87.0,81,40,0.4938,Dirk Nowitzki
62.0,112.0,109,54,0.4954,Dirk Nowitzki
62.0,137.0,111,63,0.5676,Dirk Nowitzki
62.0,162.0,138,60,0.4348,Dirk Nowitzki
62.0,187.0,135,68,0.5037,Dirk Nowitzki
62.0,212.0,32,16,0.5,Dirk Nowitzki
62.0,237.0,160,73,0.4562,Dirk Nowitzki
62.0,262.0,27,10,0.3704,Dirk Nowitzki
62.0,287.0,1,1,1.0,Dirk Nowitzki
62.0,387.0,1,0,0.0,Dirk Nowitzki
62.0,837.0,1,0,0.0,Dirk Nowitzki
87.0,-13.0,8,3,0.375,Dirk Nowitzki
87.0,12.0,75,33,0.44,Dirk Nowitzki
87.0,37.0,93,30,0.3226,Dirk Nowitzki
87.0,62.0,134,67,0.5,Dirk Nowitzki
87.0,87.0,102,48,0.4706,Dirk Nowitzki
87.0,112.0,81,30,0.3704,Dirk Nowitzki
87.0,137.0,197,92,0.467,Dirk Nowitzki
87.0,162.0,199,88,0.4422,Dirk Nowitzki
87.0,187.0,84,39,0.4643,Dirk Nowitzki
87.0,212.0,31,14,0.4516,Dirk Nowitzki
87.0,237.0,214,74,0.3458,Dirk Nowitzki
87.0,262.0,21,9,0.4286,Dirk Nowitzki
87.0,287.0,1,1,1.0,Dirk Nowitzki
87.0,387.0,1,0,0.0,Dirk Nowitzki
87.0,537.0,1,0,0.0,Dirk Nowitzki
112.0,-13.0,19,9,0.4737,Dirk Nowitzki
112.0,12.0,121,64,0.5289,Dirk Nowitzki
112.0,37.0,145,69,0.4759,Dirk Nowitzki
112.0,62.0,141,63,0.4468,Dirk Nowitzki
112.0,87.0,152,78,0.5132,Dirk Nowitzki
112.0,112.0,151,74,0.4901,Dirk Nowitzki
112.0,137.0,216,110,0.5093,Dirk Nowitzki
112.0,162.0,157,74,0.4713,Dirk Nowitzki
112.0,187.0,60,25,0.4167,Dirk Nowitzki
112.0,212.0,170,62,0.3647,Dirk Nowitzki
112.0,237.0,121,46,0.3802,Dirk Nowitzki
112.0,262.0,7,2,0.2857,Dirk Nowitzki
137.0,-38.0,2,2,1.0,Dirk Nowitzki
137.0,-13.0,43,16,0.3721,Dirk Nowitzki
137.0,12.0,288,133,0.4618,Dirk Nowitzki
137.0,37.0,248,125,0.504,Dirk Nowitzki
137.0,62.0,217,96,0.4424,Dirk Nowitzki
137.0,87.0,204,89,0.4363,Dirk Nowitzki
137.0,112.0,225,115,0.5111,Dirk Nowitzki
